ENSGACG00000016217,RNF4 
ENSGACG00000020573,dchs1b
ENSGACG00000020574,SLC46A3
ENSGACG00000020575,synj1
ENSGACG00000020576,C21orf59
ENSGACG00000020577,eva1c
ENSGACG00000020578,haus1
ENSGACG00000020579,mis18a
ENSGACG00000020580,scaf4a
ENSGACG00000020581,sod1
ENSGACG00000020582,tiam1a
ENSGACG00000020583,grik1a
ENSGACG00000020584,map3k7cl
ENSGACG00000020585,rab38b
ENSGACG00000020586,GRM5 (2 of 2)
ENSGACG00000020587,TYR (2 of 2)
ENSGACG00000020588,chordc1a
ENSGACG00000020589,FAT3 (2 of 2)
ENSGACG00000020590,mtnr1bb
ENSGACG00000020591,timm10b
ENSGACG00000020593,smpd1
ENSGACG00000020594,tpte
ENSGACG00000020595,vps36
ENSGACG00000020596,PROSER1 (1 of 2)
ENSGACG00000020597,PROSER1 (2 of 2)
ENSGACG00000020598,stoml3b
ENSGACG00000020599,mtus2
ENSGACG00000020600,slc7a1
ENSGACG00000020601,PAXBP1
ENSGACG00000020602,cadm2a
ENSGACG00000020603,LTN1
ENSGACG00000020604,tmem135
ENSGACG00000020605,HEPHL1
ENSGACG00000020606,slc43a2b
ENSGACG00000020607,pitpnab
ENSGACG00000020608,inpp5k
ENSGACG00000020609,nle1
ENSGACG00000020610,slc25a1a
ENSGACG00000020612,slc47a2 (2 of 2)
ENSGACG00000020613,slc47a1 (1 of 3)
ENSGACG00000020614,slc47a1 (2 of 3)
ENSGACG00000020615,slc47a1 (3 of 3)
ENSGACG00000020616,tmigd1
ENSGACG00000020617,cct8
ENSGACG00000020619,aldocb
ENSGACG00000020620,pigs
ENSGACG00000020621,srsf1b
ENSGACG00000020622,si:dkeyp-51b9.3
ENSGACG00000020623,HEATR6
ENSGACG00000020624,DDX52
ENSGACG00000020625,rpl23a
ENSGACG00000020626,birc2
ENSGACG00000020628,angptl5
ENSGACG00000020629,trpc6a
ENSGACG00000020630,arhgap42a
ENSGACG00000020631,snrnp35
ENSGACG00000020632,BUD13
ENSGACG00000020633,si:dkeyp-69c1.7
ENSGACG00000020634,pvrl1a
ENSGACG00000020635,chek1
ENSGACG00000020636,bfb
ENSGACG00000020637,layna
ENSGACG00000020638,alg9
ENSGACG00000020639,FDXACB1
ENSGACG00000020640,TOMM40L
ENSGACG00000020641,CCDC64B (2 of 2)
ENSGACG00000020642,MIA
ENSGACG00000020643,cryaba
ENSGACG00000020644,C12orf55
ENSGACG00000020645,si:dkey-202b22.5
ENSGACG00000020647,dlat
ENSGACG00000020649,zgc:165604
ENSGACG00000020650,pcnxl3
ENSGACG00000020651,nrxn2a
ENSGACG00000020652,pygma
ENSGACG00000020653,slc22a6l
ENSGACG00000020654,nrg2a
ENSGACG00000020655,pura
ENSGACG00000020657,cxxc5a
ENSGACG00000020658,ppp3ca
ENSGACG00000020659,dnajc18
ENSGACG00000020660,BRD8 (2 of 2)
ENSGACG00000020661,tmem45b
ENSGACG00000020662,NFRKB
ENSGACG00000020663,ryr1a
ENSGACG00000020664,si:zfos-411a11.3 (2 of 2)
ENSGACG00000020665,sms
ENSGACG00000020666,GPR64
ENSGACG00000020667,gabrr3a
ENSGACG00000020668,PHLDB2 (2 of 2)
ENSGACG00000020669,SLC51A (2 of 2)
ENSGACG00000020671,ZDHHC20 (2 of 2)
ENSGACG00000020672,pcyt1bb
ENSGACG00000020673,zgc:91985
ENSGACG00000020674,si:ch211-114c12.2 (1 of 2)
ENSGACG00000020675,si:ch211-114c12.2 (2 of 2)
ENSGACG00000020676,map7d2a
ENSGACG00000020677,pdha1a
ENSGACG00000020678,prdx4
ENSGACG00000020680,PTGDS (2 of 2)
ENSGACG00000020681,zdhhc23a
ENSGACG00000020682,ATP6V1A (2 of 2)
ENSGACG00000020683,WASF3 (2 of 2)
ENSGACG00000020684,gsx1
ENSGACG00000020685,arhgap31
ENSGACG00000020686,b4galt4
ENSGACG00000020687,CASR
ENSGACG00000020688,zgc:175280 (2 of 2)
ENSGACG00000020689,kif20a
ENSGACG00000020690,cdc23
ENSGACG00000020691,gfra3
ENSGACG00000020692,slc25a5
ENSGACG00000020693,zbtb20
ENSGACG00000020694,DLG4 (2 of 2)
ENSGACG00000020695,ephb4a
ENSGACG00000020696,KCNAB3 (2 of 2)
ENSGACG00000020697,neu3.1
ENSGACG00000020698,chrdl2
ENSGACG00000020699,spag7
ENSGACG00000020700,defbl2
ENSGACG00000020701,mepce (1 of 2)
ENSGACG00000020702,mepce (2 of 2)
ENSGACG00000020703,PAK3
ENSGACG00000020704,CAPN6
ENSGACG00000020705,DCX
ENSGACG00000020707,il13ra2
ENSGACG00000020708,lrch2
ENSGACG00000020709,zgc:163098
ENSGACG00000020710,WDR44
ENSGACG00000020711,klhl13
ENSGACG00000020713,ltbp3
ENSGACG00000020714,hmp19
ENSGACG00000020715,msxd
ENSGACG00000020716,drd1b
ENSGACG00000020717,rad50
ENSGACG00000020718,pou4f3
ENSGACG00000020719,rbm27
ENSGACG00000020720,larsb
ENSGACG00000020721,plac8l1
ENSGACG00000020722,GRXCR2
ENSGACG00000020723,kctd16b
ENSGACG00000020724,yipf5
ENSGACG00000020725,NR3C1 (2 of 2)
ENSGACG00000020726,ARHGAP26
ENSGACG00000020727,fgf1b
ENSGACG00000020728,spry4
ENSGACG00000020729,ndfip1l
ENSGACG00000020730,zgc:110053
ENSGACG00000020731,rnf14
ENSGACG00000020732,hspa4a
ENSGACG00000020733,zcchc10
ENSGACG00000020734,aff4
ENSGACG00000020735,shroom1
ENSGACG00000020736,sowahaa
ENSGACG00000020737,SEPT8 (2 of 2)
ENSGACG00000020738,ccni2
ENSGACG00000020739,gabrg2
ENSGACG00000020740,gabra1 (1 of 2)
ENSGACG00000020741,gabra1 (2 of 2)
ENSGACG00000020742,gabra6b
ENSGACG00000020743,GABRB2 (2 of 2)
ENSGACG00000020744,sh3pxd2b
ENSGACG00000020745,stk10
ENSGACG00000020746,stk32a
ENSGACG00000020747,dpysl3
ENSGACG00000020748,jakmip2
ENSGACG00000020749,slc6a11a
ENSGACG00000020750,slc37a2 (2 of 2)
ENSGACG00000020751,CCDC15
ENSGACG00000020752,psmg1
ENSGACG00000020753,C11orf87
ENSGACG00000020754,mybbp1a
ENSGACG00000020755,tbl2
ENSGACG00000020756,pom121
ENSGACG00000020757,zw10
ENSGACG00000020758,mks1
ENSGACG00000020759,ap2b1
ENSGACG00000020760,HEPACAM (2 of 2)
ENSGACG00000020761,tmem120a
ENSGACG00000020762,MCAM (2 of 2)
ENSGACG00000020763,cbl (2 of 2)
ENSGACG00000020764,alkbh4
ENSGACG00000020765,lrwd1
ENSGACG00000020766,bckdk
ENSGACG00000020767,orai2
ENSGACG00000020768,usp28
ENSGACG00000020769,htr3b
ENSGACG00000020770,htr3a
ENSGACG00000020771,zbtb16a
ENSGACG00000020773,ncam1a
ENSGACG00000020774,CADM1 (2 of 2)
ENSGACG00000020775,sc5d (2 of 2)
ENSGACG00000020776,PLEKHB1
ENSGACG00000020777,tbcelb
ENSGACG00000020778,tecta
ENSGACG00000020780,SMTNL2 (2 of 2)
ENSGACG00000020781,CRK (2 of 2)
ENSGACG00000020783,gria4b
ENSGACG00000020784,slc35f2
ENSGACG00000020785,cul5b
ENSGACG00000020786,capn5b
ENSGACG00000020787,ompb
ENSGACG00000020788,myo7ab
ENSGACG00000020789,ttc3 (1 of 2)
ENSGACG00000020791,ttc3 (2 of 2)
ENSGACG00000020793,rabgef1
ENSGACG00000020794,KCNJ6
ENSGACG00000020795,pgk1
ENSGACG00000020796,pgrmc1
ENSGACG00000020797,rab24
ENSGACG00000020798,nsd1b
ENSGACG00000020799,fgfr4
ENSGACG00000020800,znf346
ENSGACG00000020803,HK3
ENSGACG00000020805,dbn1
ENSGACG00000020807,PRR7
ENSGACG00000020808,GRK6
ENSGACG00000020810,nop16 (3 of 4)
ENSGACG00000020811,arl10
ENSGACG00000020812,WWC1
ENSGACG00000020813,rars
ENSGACG00000020814,si:dkeyp-23e4.3
ENSGACG00000020815,sgcd
ENSGACG00000020816,HAND1
ENSGACG00000020817,sap30l
ENSGACG00000020819,nop16 (4 of 4)
ENSGACG00000020820,GALNT10 (1 of 2)
ENSGACG00000020821,GALNT10 (2 of 2)
ENSGACG00000020822,MFAP3
ENSGACG00000020823,FAM114A2
ENSGACG00000020824,cnot8
ENSGACG00000020825,gemin5
ENSGACG00000020826,mrpl22
ENSGACG00000020827,ncf1
ENSGACG00000020829,st6gal1
ENSGACG00000020830,HNRNPAB (2 of 2)
ENSGACG00000020831,btg4
ENSGACG00000020832,slc25a14
ENSGACG00000020834,cldn2
ENSGACG00000020835,GPR119
ENSGACG00000020836,clk4b
ENSGACG00000020837,zgc:123105
ENSGACG00000020838,KLHL10 (5 of 5)
ENSGACG00000020839,pof1b
ENSGACG00000020840,zgc:158291
ENSGACG00000020841,zgc:136851
ENSGACG00000020842,rbm41
ENSGACG00000020843,clip2
ENSGACG00000020844,gtf2ird1
ENSGACG00000020845,rad51d
ENSGACG00000020846,lig3
ENSGACG00000020847,tmem248
ENSGACG00000020848,DOC2B
ENSGACG00000020849,gatsl2
ENSGACG00000020850,wbscr16
ENSGACG00000020851,tmem136b
ENSGACG00000020853,C11orf30
ENSGACG00000020854,lrrc32
ENSGACG00000020855,rabep1
ENSGACG00000020856,VPS37D
ENSGACG00000020857,foxred1
ENSGACG00000020858,FCHSD2 (2 of 2)
ENSGACG00000020859,RSF1
ENSGACG00000020861,aqp11
ENSGACG00000020862,GDPD4 (2 of 2)
ENSGACG00000020863,dscr3
ENSGACG00000020864,pdlim4
ENSGACG00000020865,p4ha2
ENSGACG00000020866,pou2f3
ENSGACG00000020867,trim37
ENSGACG00000020869,ppm1e
ENSGACG00000020870,smg8
ENSGACG00000020871,KCNJ15
ENSGACG00000020873,slc22a5
ENSGACG00000020874,slc22a21
ENSGACG00000020875,slc22a4
ENSGACG00000020876,irf1b
ENSGACG00000020877,acsl6
ENSGACG00000020878,FNIP1
ENSGACG00000020879,rapgef6
ENSGACG00000020880,fstl4
ENSGACG00000020883,vdac1
ENSGACG00000020884,skp1
ENSGACG00000020887,cdkn2aipnl
ENSGACG00000020888,havcr1
ENSGACG00000020889,nhp2
ENSGACG00000020890,lcp2a
ENSGACG00000020892,zmat2
ENSGACG00000020894,timd4
ENSGACG00000020895,pgap2
ENSGACG00000020896,rhogb
ENSGACG00000020897,guca1c
ENSGACG00000020899,alg8
ENSGACG00000020900,ccdc90b
ENSGACG00000020901,pcf11
ENSGACG00000020902,C17orf85
ENSGACG00000020903,APBB3
ENSGACG00000020904,sra1
ENSGACG00000020905,camk2a
ENSGACG00000020906,rps14
ENSGACG00000020907,chm
ENSGACG00000020908,ik
ENSGACG00000020909,ndufa2
ENSGACG00000020910,adamts22
ENSGACG00000020913,csf1rb
ENSGACG00000020914,tmprss15
ENSGACG00000020915,ttc1
ENSGACG00000020916,pfdn1
ENSGACG00000020917,oatx
ENSGACG00000020918,slc23a1
ENSGACG00000013926,CEMIP
ENSGACG00000013938,abhd17c
ENSGACG00000013947,arnt2
ENSGACG00000013959,fah
ENSGACG00000013974,MTHFS
ENSGACG00000013982,asb7
ENSGACG00000013986,aldh1a3
ENSGACG00000014066,LRRK1
ENSGACG00000014084,chsy1
ENSGACG00000014089,vimp
ENSGACG00000014092,snrpa1
ENSGACG00000014099,muc5f
ENSGACG00000014114,ANO9 (2 of 2)
ENSGACG00000014125,TSSC4
ENSGACG00000014127,shcbp1
ENSGACG00000014130,spg21
ENSGACG00000014146,pdcd7
ENSGACG00000014155,UQCRFS1 (2 of 2)
ENSGACG00000014160,VSTM2B
ENSGACG00000014165,ccnd1
ENSGACG00000014182,oraov1
ENSGACG00000014186,fgf3
ENSGACG00000014187,fgf4 (1 of 2)
ENSGACG00000014191,fgf19
ENSGACG00000014193,vps35
ENSGACG00000014211,C16orf87
ENSGACG00000014217,gpt2
ENSGACG00000014220,mtfmt
ENSGACG00000014226,celf1
ENSGACG00000014232,POGK (1 of 3)
ENSGACG00000014234,znf536
ENSGACG00000014236,TSHZ3 (2 of 2)
ENSGACG00000014238,ZNF507
ENSGACG00000014242,DPY19L3
ENSGACG00000021571,U4
ENSGACG00000014257,MTSS1L (2 of 2)
ENSGACG00000014264,dhcr7
ENSGACG00000014272,MMP15 (2 of 2)
ENSGACG00000014285,slc7a6os
ENSGACG00000014291,slc7a6
ENSGACG00000014301,gpr56 (1 of 2)
ENSGACG00000014306,gpr56 (2 of 2)
ENSGACG00000014311,syap1
ENSGACG00000014319,phospho2
ENSGACG00000014322,CDH8
ENSGACG00000014347,adamts18
ENSGACG00000014357,si:ch211-197l9.5
ENSGACG00000014360,BNC1
ENSGACG00000014364,sh3gl3a
ENSGACG00000014369,cx36.7
ENSGACG00000014372,zgc:158785
ENSGACG00000014375,lmnl3
ENSGACG00000014379,ADAMTSL3 (1 of 2)
ENSGACG00000014385,ADAMTSL3 (2 of 2)
ENSGACG00000014393,ano1
ENSGACG00000014400,fadd
ENSGACG00000014406,ASTL (7 of 12)
ENSGACG00000014411,ASTL (8 of 12)
ENSGACG00000014415,ASTL (9 of 12)
ENSGACG00000014420,ASTL (10 of 12)
ENSGACG00000014422,mtch2
ENSGACG00000014479,gas8 (2 of 3)
ENSGACG00000014482,ankdd1a
ENSGACG00000014489,PLEKHO2
ENSGACG00000014495,RWDD3
ENSGACG00000014499,PCSK6
ENSGACG00000014504,efcab2
ENSGACG00000014507,plekhf1 (2 of 3)
ENSGACG00000014509,plekhf1 (3 of 3)
ENSGACG00000014510,pop4
ENSGACG00000014526,tpcn2
ENSGACG00000014530,nadsyn1
ENSGACG00000014541,DOK4
ENSGACG00000014543,ccdc102a
ENSGACG00000014550,txlng
ENSGACG00000014552,rbb4l
ENSGACG00000014572,lsm14ab
ENSGACG00000014575,KCTD15
ENSGACG00000014582,pepd
ENSGACG00000014615,THSD4
ENSGACG00000014619,LRRC49
ENSGACG00000014622,larp6
ENSGACG00000014624,tm2d3
ENSGACG00000014631,tarsl2
ENSGACG00000014651,ulk3
ENSGACG00000014657,cplx3b
ENSGACG00000014659,CSK (2 of 2)
ENSGACG00000014671,EDC3 (2 of 2)
ENSGACG00000014674,cyp1a
ENSGACG00000014696,SEMA7A (2 of 2)
ENSGACG00000014702,COX5A (2 of 2)
ENSGACG00000014706,snap25a
ENSGACG00000014725,lrrc28
ENSGACG00000014729,IGF1R (2 of 2)
ENSGACG00000014734,ap3s2
ENSGACG00000014748,ANPEP (3 of 3)
ENSGACG00000014761,mespaa
ENSGACG00000014764,sv2ba
ENSGACG00000014778,AKAP13 (2 of 2)
ENSGACG00000014782,NTRK3 (2 of 2)
ENSGACG00000014786,mrpl46
ENSGACG00000014791,mrps11
ENSGACG00000014795,PDPR
ENSGACG00000014805,pnoca
ENSGACG00000014807,kif13ba
ENSGACG00000014814,hmbox1a
ENSGACG00000014815,tdp1
ENSGACG00000014823,eprs
ENSGACG00000014828,GLO1 (2 of 2)
ENSGACG00000014832,gnrhr2 (1 of 2)
ENSGACG00000014835,SLCO3A1 (2 of 2)
ENSGACG00000014848,mctp2b
ENSGACG00000014856,MEF2A (2 of 2)
ENSGACG00000014858,abcc12
ENSGACG00000014863,zgc:165481
ENSGACG00000014864,cep89
ENSGACG00000014868,rhpn2
ENSGACG00000014873,slc7a10a
ENSGACG00000014887,LRP3
ENSGACG00000014888,dnaja2
ENSGACG00000014900,NETO2 (2 of 2)
ENSGACG00000014902,ITFG1
ENSGACG00000014907,phkb (1 of 2)
ENSGACG00000014912,phkb (2 of 2)
ENSGACG00000014918,ss18l2
ENSGACG00000014920,KIAA0355
ENSGACG00000014922,gpib
ENSGACG00000014970,wtip
ENSGACG00000014971,sdr42e1
ENSGACG00000014973,zgc:101040
ENSGACG00000014981,scg3
ENSGACG00000014985,lysmd2
ENSGACG00000014989,tmod2
ENSGACG00000014999,leo1
ENSGACG00000015004,mapk6
ENSGACG00000015008,USP50
ENSGACG00000015010,usp8
ENSGACG00000015018,hdc
ENSGACG00000015021,slc27a2a
ENSGACG00000015028,gatm
ENSGACG00000015037,pde8a
ENSGACG00000022753,SCARNA15
ENSGACG00000022812,SCARNA15
ENSGACG00000015044,FSD2
ENSGACG00000015047,WHAMM
ENSGACG00000015051,HOMER2
ENSGACG00000015052,FAM103A1
ENSGACG00000015053,BTBD1
ENSGACG00000015059,TM6SF1
ENSGACG00000015069,zrsr2
ENSGACG00000015072,ap1s2
ENSGACG00000015078,PHKA2
ENSGACG00000015084,ppef1
ENSGACG00000015091,RS1 (2 of 2)
ENSGACG00000015093,cdkl5
ENSGACG00000015096,SCML2 (2 of 2)
ENSGACG00000015098,NHS (2 of 2)
ENSGACG00000015100,ace2
ENSGACG00000015113,zgc:113276
ENSGACG00000015118,pir
ENSGACG00000015124,figf
ENSGACG00000015127,grpr (2 of 2)
ENSGACG00000015128,GPA33 (2 of 2)
ENSGACG00000015131,ILDR2 (2 of 2)
ENSGACG00000015133,ildr1a
ENSGACG00000015134,tmem39a
ENSGACG00000015137,PRSS23
ENSGACG00000015139,CCDC81
ENSGACG00000015140,IL18R1
ENSGACG00000015144,pcnp
ENSGACG00000015147,stk16
ENSGACG00000015160,MNX1
ENSGACG00000015161,atic
ENSGACG00000015164,fn1b
ENSGACG00000015167,psmd14
ENSGACG00000015174,RBMS1 (2 of 2)
ENSGACG00000015179,itgb6
ENSGACG00000015183,PLA2R1
ENSGACG00000015184,ly75
ENSGACG00000015187,7-Mar
ENSGACG00000015193,baz2ba (1 of 3)
ENSGACG00000015194,baz2ba (2 of 3)
ENSGACG00000015196,baz2ba (3 of 3)
ENSGACG00000015200,wdsub1
ENSGACG00000015204,fem1a
ENSGACG00000015208,gtf2f2a
ENSGACG00000015216,gpalpp1
ENSGACG00000015218,ercc3
ENSGACG00000015251,cyp27c1
ENSGACG00000015254,RBM26
ENSGACG00000015257,RNF219
ENSGACG00000015259,pou4f1
ENSGACG00000015260,PCDH9
ENSGACG00000015262,PCDH20
ENSGACG00000015264,tdrd3
ENSGACG00000015270,diaph3
ENSGACG00000015275,pcdh17
ENSGACG00000015277,NKPD1
ENSGACG00000015281,trmt10c
ENSGACG00000015283,blzf1
ENSGACG00000015292,ercc5
ENSGACG00000015294,zgc:92518
ENSGACG00000015297,METTL21C (2 of 2)
ENSGACG00000015300,TPP2
ENSGACG00000015302,rasa3
ENSGACG00000015305,pros1
ENSGACG00000015310,gas6
ENSGACG00000015319,TMEM255B
ENSGACG00000015322,grk1a (2 of 2)
ENSGACG00000015325,ATP4B
ENSGACG00000015331,tmco3
ENSGACG00000015337,dcun1d2b
ENSGACG00000015338,adprhl1
ENSGACG00000015345,GRTP1 (2 of 2)
ENSGACG00000015350,LAMP1 (2 of 2)
ENSGACG00000015356,cul4a
ENSGACG00000015359,tgfbrap1
ENSGACG00000015363,mrpl16
ENSGACG00000015365,GPR152
ENSGACG00000015366,efnb2b
ENSGACG00000015368,GPC5
ENSGACG00000015374,GPC6 (2 of 2)
ENSGACG00000015375,lmo7b
ENSGACG00000015376,KCTD12 (2 of 2)
ENSGACG00000015378,SLC5A7 (2 of 2)
ENSGACG00000015382,arl6
ENSGACG00000015384,epha6
ENSGACG00000015388,nsun3
ENSGACG00000015390,atp5g3a
ENSGACG00000015391,rrad
ENSGACG00000015392,CDH16
ENSGACG00000015396,ca7
ENSGACG00000015403,nae1
ENSGACG00000015417,dync1li2
ENSGACG00000015419,cmtm4
ENSGACG00000015421,cmtm3
ENSGACG00000015423,CMTM1
ENSGACG00000015424,galns
ENSGACG00000015428,pabpn1l
ENSGACG00000015432,CBFA2T3
ENSGACG00000015439,ACSF3
ENSGACG00000015445,cdh15
ENSGACG00000015447,spg7
ENSGACG00000015450,ankrd11
ENSGACG00000015452,SLC22A31
ENSGACG00000015454,dpep1
ENSGACG00000015459,sult5a1
ENSGACG00000015466,dhodh
ENSGACG00000015470,ist1
ENSGACG00000015478,mphosph10
ENSGACG00000015483,mcee
ENSGACG00000015484,fth1a
ENSGACG00000015499,rplp2l
ENSGACG00000015500,lin7c
ENSGACG00000015502,bdnf
ENSGACG00000015507,kif18a
ENSGACG00000015510,METTL15
ENSGACG00000015514,LGR4
ENSGACG00000015517,mybpc3
ENSGACG00000015525,spi1b
ENSGACG00000015530,slc39a13
ENSGACG00000015541,GAS2 (2 of 2)
ENSGACG00000015543,slc17a6b
ENSGACG00000015544,ano5b
ENSGACG00000015547,igdcc3
ENSGACG00000015550,cilp
ENSGACG00000015551,eif3jb
ENSGACG00000015557,si:ch211-150j10.4
ENSGACG00000015558,ctdspl2b
ENSGACG00000015566,casc4
ENSGACG00000015570,fam189a1
ENSGACG00000015573,tjp1a
ENSGACG00000015578,sord
ENSGACG00000015592,apba2b (2 of 2)
ENSGACG00000015595,sdhaf2
ENSGACG00000015600,CPSF7
ENSGACG00000015603,dagla
ENSGACG00000015605,ext2
ENSGACG00000015616,alx4a (2 of 2)
ENSGACG00000015620,caprin1a
ENSGACG00000015626,nucb2a
ENSGACG00000015632,plekha7b
ENSGACG00000015635,sox6
ENSGACG00000015637,CALCA
ENSGACG00000015638,cyp2r1
ENSGACG00000015640,PDE3B
ENSGACG00000015643,copb1
ENSGACG00000015645,rras2
ENSGACG00000015648,TUB
ENSGACG00000015652,RIC3 (2 of 2)
ENSGACG00000015653,lmo1
ENSGACG00000015654,stk33
ENSGACG00000015655,trim66
ENSGACG00000015658,st5
ENSGACG00000015661,tmem9b
ENSGACG00000015663,scube2
ENSGACG00000015667,fam60al
ENSGACG00000015671,dennd5a
ENSGACG00000015676,tmem41b
ENSGACG00000015677,ipo7
ENSGACG00000015680,swap70a
ENSGACG00000015683,sbf2
ENSGACG00000015691,adma
ENSGACG00000015694,ampd3a
ENSGACG00000015698,mrvi1
ENSGACG00000015700,ctr9
ENSGACG00000015701,eif4g2a
ENSGACG00000015704,galnt18b
ENSGACG00000015708,btbd10b
ENSGACG00000015715,tead1b
ENSGACG00000015725,mical2a
ENSGACG00000015726,dkk3a
ENSGACG00000015728,usp47
ENSGACG00000015733,CLEC3A
ENSGACG00000015734,vat1l
ENSGACG00000015740,BOLA3
ENSGACG00000015742,PKD1L3 (2 of 2)
ENSGACG00000015747,NFAT5
ENSGACG00000015749,kars
ENSGACG00000015752,rpl13
ENSGACG00000022754,snoMBII-202
ENSGACG00000022800,snoMBII-202
ENSGACG00000015754,CPNE7
ENSGACG00000015773,zgc:162592
ENSGACG00000015774,cyb5b
ENSGACG00000015776,dhx38
ENSGACG00000015779,zfhx3
ENSGACG00000015782,POGK (2 of 3)
ENSGACG00000015783,CRISPLD2
ENSGACG00000015786,usp10
ENSGACG00000022691,SNORA24
ENSGACG00000015790,marveld3
ENSGACG00000015791,phlpp2
ENSGACG00000015795,ap1g1
ENSGACG00000015798,ZNF821
ENSGACG00000015799,mtmr10
ENSGACG00000015802,myo1ea
ENSGACG00000015811,RNF111
ENSGACG00000015814,sltm
ENSGACG00000015817,fam63b
ENSGACG00000015821,lipca
ENSGACG00000015823,aqp9b
ENSGACG00000015825,aldh1a2
ENSGACG00000015829,polr2m
ENSGACG00000015830,cgnl1
ENSGACG00000015831,tcf12
ENSGACG00000015832,znf280d
ENSGACG00000015833,mns1
ENSGACG00000015835,tex9
ENSGACG00000015838,RFX7 (2 of 2)
ENSGACG00000015840,NEDD4
ENSGACG00000015845,PRTG
ENSGACG00000015850,PBXIP1
ENSGACG00000015853,pigb
ENSGACG00000015855,rab27a
ENSGACG00000015858,vrk3
ENSGACG00000015863,FAM65A (2 of 2)
ENSGACG00000015865,ctcf (2 of 2)
ENSGACG00000015869,cpsf5
ENSGACG00000015871,ogfod1
ENSGACG00000015872,tradd
ENSGACG00000015873,gnao1b
ENSGACG00000015875,cog4
ENSGACG00000015877,GIN1
ENSGACG00000015878,gfod2
ENSGACG00000015879,thap11
ENSGACG00000015880,SLC38A8 (2 of 2)
ENSGACG00000015882,cmtr2
ENSGACG00000015883,calb2b
ENSGACG00000015885,got2b
ENSGACG00000015895,slc38a7
ENSGACG00000015906,gas8 (3 of 3)
ENSGACG00000015909,STRC
ENSGACG00000015911,furina
ENSGACG00000015919,fes
ENSGACG00000015923,rhcg
ENSGACG00000015929,kif7
ENSGACG00000015933,CLEC18B
ENSGACG00000015936,urah
ENSGACG00000015937,pdcd5
ENSGACG00000015940,mvda
ENSGACG00000015943,cyba
ENSGACG00000015948,tcf25
ENSGACG00000015952,mc1r
ENSGACG00000015953,def8
ENSGACG00000015954,DBNDD1
ENSGACG00000015955,mthfsd
ENSGACG00000015956,foxf1
ENSGACG00000015958,irf8
ENSGACG00000015961,dusp22a
ENSGACG00000015963,cox4i1
ENSGACG00000015965,emc8
ENSGACG00000015967,gins2
ENSGACG00000015970,gse1
ENSGACG00000015975,atmin
ENSGACG00000015976,cenpn
ENSGACG00000015977,cmc2
ENSGACG00000015978,CDYL2
ENSGACG00000015980,maf (2 of 2)
ENSGACG00000015982,ppfibp2a
ENSGACG00000015987,syt9a
ENSGACG00000015990,spon1a
ENSGACG00000015992,kiaa1549lb
ENSGACG00000015995,hipk3b
ENSGACG00000015997,cstf3
ENSGACG00000016001,depdc7
ENSGACG00000016002,qser1
ENSGACG00000016006,prrg4
ENSGACG00000016009,eif3m
ENSGACG00000016020,wt1b
ENSGACG00000016025,rcn1
ENSGACG00000016030,pax6b
ENSGACG00000016032,elp4
ENSGACG00000016034,immp1l
ENSGACG00000016035,RPS6KA2
ENSGACG00000016041,rnaset2
ENSGACG00000016045,MYOM2 (1 of 2)
ENSGACG00000016050,CSMD1
ENSGACG00000016059,si:zfos-1762d12.1
ENSGACG00000016060,ddx21
ENSGACG00000016061,casc1 (1 of 2)
ENSGACG00000016064,GBGT1 (3 of 3)
ENSGACG00000016067,mpc1
ENSGACG00000016068,kbp
ENSGACG00000016072,vps26a
ENSGACG00000016077,supv3l1
ENSGACG00000016082,hkdc1
ENSGACG00000016084,hk1 (1 of 2)
ENSGACG00000016103,tacr2
ENSGACG00000016105,tspan15
ENSGACG00000016111,dna2
ENSGACG00000016118,HNRNPH3
ENSGACG00000016120,rufy2
ENSGACG00000016129,fam120b
ENSGACG00000016131,dld
ENSGACG00000016137,MIS12
ENSGACG00000016139,ppm1g
ENSGACG00000016143,rhoua
ENSGACG00000016144,pdcd2
ENSGACG00000016147,tbp
ENSGACG00000016150,psmc3
ENSGACG00000016151,psmb1
ENSGACG00000016158,phf10
ENSGACG00000016164,rab4a
ENSGACG00000016166,ccsapb
ENSGACG00000016168,actc1b
ENSGACG00000016176,abcb10
ENSGACG00000016179,urb2
ENSGACG00000016182,galnt2
ENSGACG00000016185,smyd2a
ENSGACG00000016190,cenpf
ENSGACG00000016197,kcnk2a
ENSGACG00000016198,CGREF1
ENSGACG00000016199,adpgk2
ENSGACG00000016202,ctsba
ENSGACG00000016215,itsn2b
ENSGACG00000016221,gcfc2
ENSGACG00000016226,sccpdha
ENSGACG00000016236,tfb2m
ENSGACG00000016238,CNST (3 of 3)
ENSGACG00000016239,smyd3
ENSGACG00000016241,kif26ba
ENSGACG00000016243,MUM1L1
ENSGACG00000016245,ahctf1
ENSGACG00000016247,si:rp71-84d9.1
ENSGACG00000016253,fzd3b
ENSGACG00000016256,KRTCAP3
ENSGACG00000016259,NRBP1 (2 of 2)
ENSGACG00000016261,kctd3
ENSGACG00000016262,ush2a
ENSGACG00000016275,esrrga
ENSGACG00000016280,spata17
ENSGACG00000016281,greb1
ENSGACG00000016288,lpin1
ENSGACG00000016295,DDIAS
ENSGACG00000016298,il4r
ENSGACG00000016299,irf1a
ENSGACG00000016301,nip7
ENSGACG00000016307,terfa
ENSGACG00000016313,zdhhc7
ENSGACG00000016315,RGS9BP
ENSGACG00000016317,slc7a9 (1 of 2)
